,container_id,container_workflow_state,donor_id,full_genotype,sex,created_at,behavior_session_id,equipment_name,ophys_session_name,ophys_experiment_id,ophys_workflow_state,imaging_depth,targeted_structure,stage_name,retake_number
161,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-18 21:15:51.342412,824894721,CAM2P.5,20190218_431023_VISp_175um_3a,825130141,passed,175,VISp,OPHYS_3_images_A,1.0
171,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-01 21:50:55.728027,817165094,CAM2P.5,20190201_431023_4imagesB,817267785,passed,175,VISp,OPHYS_4_images_B,0.0
167,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-08 00:20:58.831759,820124540,CAM2P.5,20190129_431023_VISp_175um_6,820307518,passed,175,VISp,OPHYS_6_images_B,0.0
96,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-21 02:20:52.503165,783629024,CAM2P.4,20181120_416369_2P3_VISp_375_1,783927872,passed,375,VISp,OPHYS_1_images_A,0.0
97,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-21 22:40:53.254148,784320573,CAM2P.4,20181121_416369_2P3_VISp_375_2,784482326,passed,375,VISp,OPHYS_2_images_A_passive,0.0
105,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-15 01:50:57.642552,795903435,CAM2P.5,20181214_416369_2P5_VISp_375_3,795948257,passed,375,VISp,OPHYS_3_images_A,3.0
107,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-19 23:35:59.300547,799131344,CAM2P.5,20181219_416369_2P5_VISp_375_4,799368904,passed,375,VISp,OPHYS_4_images_B,3.0
108,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-30 02:10:52.217416,788447502,CAM2P.5,20181129_416369_2P3_VISp_375_5,788489531,passed,375,VISp,OPHYS_5_images_B_passive,0.0
100,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-01 01:20:52.404558,789295700,CAM2P.5,20181130_416369_2P3_VISp_375_6,789359614,passed,375,VISp,OPHYS_6_images_B,0.0
80,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-10 18:10:54.720762,792477679,CAM2P.4,20181210_412366_1ImagesA,792813858,passed,375,VISp,OPHYS_1_images_A,0.0
87,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-18 01:15:57.462081,797170547,CAM2P.4,20181217_412366_2_images_A_passive,797255551,passed,375,VISp,OPHYS_2_images_A_passive,1.0
82,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-12 18:10:57.812126,794071128,CAM2P.4,20181212_412366_3imagesA,794381992,passed,375,VISp,OPHYS_3_images_A,0.0
83,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-13 17:40:57.149536,794673280,CAM2P.4,20181213_412366_4imagesB,795076128,passed,375,VISp,OPHYS_4_images_B,0.0
84,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-14 17:51:00.258486,795431009,CAM2P.4,20181214_412366_5imagesB,795952471,passed,375,VISp,OPHYS_5_images_B_passive,0.0
85,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-15 19:01:00.670448,796031509,CAM2P.4,20181215_412366_6imagesB,796105304,passed,375,VISp,OPHYS_6_images_B,0.0
124,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-04 18:05:58.172180,803341010,CAM2P.5,20190104_421136_1imagesA,803736273,passed,175,VISp,OPHYS_1_images_A,1.0
111,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-16 17:55:55.300957,809321253,CAM2P.5,20190116_421136_2imagesA,809497730,passed,175,VISp,OPHYS_2_images_A_passive,2.0
115,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-08 18:01:04.592730,805373492,CAM2P.5,20180108_421136_4imagesB,805784331,passed,175,VISp,OPHYS_4_images_B,1.0
114,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-11 18:05:55.408737,807198458,CAM2P.5,20180111_421136_5imagesB,807753318,passed,175,VISp,OPHYS_5_images_B_passive,1.0
113,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-14 17:55:53.896216,808107647,CAM2P.5,20190114_421136_6imagesB,808621958,passed,175,VISp,OPHYS_6_images_B,1.0
214,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-02-20 18:10:50.575849,825888541,CAM2P.4,20190220_429952_1imagesA,826587940,passed,175,VISp,OPHYS_1_images_A,0.0
203,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-03-13 16:50:51.031511,836399024,CAM2P.4,20190313_429952_2imagesA,836911939,passed,175,VISp,OPHYS_2_images_A_passive,3.0
204,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-03-12 16:30:58.111014,835820832,CAM2P.4,20190312_429952_3imagesA,836258957,passed,175,VISp,OPHYS_3_images_A,0.0
211,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-02-27 18:15:51.705475,829578829,CAM2P.4,20190227_429952_4imagesB,830093338,passed,175,VISp,OPHYS_4_images_B,0.0
210,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-02-28 18:05:51.192552,830255592,CAM2P.4,20190228_429952_5imagesB,830700800,passed,175,VISp,OPHYS_5_images_B_passive,0.0
207,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-03-06 17:40:46.691319,832981154,CAM2P.4,20190306_429952_6imagesB,833631914,passed,175,VISp,OPHYS_6_images_B,1.0
184,829561794,postprocessing,784057617,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-02-28 19:55:49.639533,830419451,CAM2P.4,20190228_431252_1imagesA,830700781,passed,375,VISp,OPHYS_1_images_A,0.0
176,829561794,postprocessing,784057617,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-03-14 18:30:56.656349,837108110,CAM2P.4,20190314_431252_2imagesA,837296345,passed,375,VISp,OPHYS_2_images_A_passive,1.0
182,829561794,postprocessing,784057617,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-03-06 19:45:52.621465,833100683,CAM2P.4,20190306_431252_3imageA,833629926,passed,375,VISp,OPHYS_3_images_A,0.0
181,829561794,postprocessing,784057617,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-03-07 20:10:53.608059,833946929,CAM2P.4,20190307_431252_4imagesB,834279496,passed,375,VISp,OPHYS_4_images_B,0.0
175,829561794,postprocessing,784057617,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-03-15 17:15:50.410677,837512169,CAM2P.4,20190315_431252_5imagesB,837729902,passed,375,VISp,OPHYS_5_images_B_passive,1.0
178,829561794,postprocessing,784057617,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-03-12 18:55:46.346546,835940015,CAM2P.4,20190312_431252_6imagesB,836258936,passed,375,VISp,OPHYS_6_images_B,0.0
125,830457573,container_qc,795522266,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-03-18 20:30:56.146485,838479515,CAM2P.5,20190318_433245_4imagesB,838849930,passed,375,VISp,OPHYS_4_images_B,2.0
194,843049827,postprocessing,813703535,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-03-28 17:35:55.253425,842729895,CAM2P.3,20190328_440298_1imagesA,842973730,passed,375,VISp,OPHYS_1_images_A,0.0
193,843049827,postprocessing,813703535,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-03-29 17:15:47.343446,843203333,CAM2P.3,20190329_440298_2imagesA,843519218,passed,375,VISp,OPHYS_2_images_A_passive,0.0
189,843049827,postprocessing,813703535,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-03 18:35:53.522561,845441512,CAM2P.3,20190403_440298_4imagesB,848694639,passed,375,VISp,OPHYS_4_images_B,0.0
188,843049827,postprocessing,813703535,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-09 19:51:01.546333,848503804,CAM2P.3,20190409_440298_5imagesB,848698709,passed,375,VISp,OPHYS_5_images_B_passive,1.0
190,843049827,postprocessing,813703535,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-05 19:25:53.115861,846929750,CAM2P.3,20190405_440298_6imagesB,847125577,passed,375,VISp,OPHYS_6_images_B,0.0
18,845588020,completed,820871399,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-09 18:10:56.797484,848348215,CAM2P.3,20190409_445270_1imagesA,848697604,passed,375,VISp,OPHYS_1_images_A,0.0
17,845588020,completed,820871399,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-10 17:40:49.615102,848943191,CAM2P.3,20190410_445270_2imagesA,849203586,passed,375,VISp,OPHYS_2_images_A_passive,0.0
2,845588020,completed,820871399,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-07 19:25:53.266099,864068649,CAM2P.3,20190507_445270_3imagesA,864370674,passed,375,VISp,OPHYS_3_images_A,4.0
3,845588020,completed,820871399,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-01 18:40:49.105690,860533862,CAM2P.3,20190501_445270_4imagesB,862848066,passed,375,VISp,OPHYS_4_images_B,2.0
10,845588020,completed,820871399,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-22 21:10:51.896597,855446545,CAM2P.3,20190422_445270_5imagesBPassive,855582981,passed,375,VISp,OPHYS_5_images_B_passive,1.0
9,845588020,completed,820871399,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-23 18:35:53.748877,855866701,CAM2P.3,20190423_445270_6imagesB,856096766,passed,375,VISp,OPHYS_6_images_B,1.0
202,846213087,postprocessing,803258370,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-09 21:25:56.481758,848599542,CAM2P.4,20190409_436662_1imagesA,848692970,passed,375,VISp,OPHYS_1_images_A,0.0
201,846213087,postprocessing,803258370,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-10 21:35:50.179733,849136474,CAM2P.4,20190410_436662_2imagesA,849199228,passed,375,VISp,OPHYS_2_images_A_passive,0.0
200,846213087,postprocessing,803258370,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-11 20:40:55.562392,849648618,CAM2P.4,20190411_436662_3imagesA,850489605,passed,375,VISp,OPHYS_3_images_A,0.0
199,846213087,postprocessing,803258370,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-12 21:35:49.161816,850985993,CAM2P.4,20190412_436662_4imagesB,851056106,passed,375,VISp,OPHYS_4_images_B,0.0
198,846213087,postprocessing,803258370,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-15 20:20:54.420578,851757903,CAM2P.4,20190415_436662_5imagesB,851932055,passed,375,VISp,OPHYS_5_images_B_passive,0.0
195,846213087,postprocessing,803258370,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-18 17:30:59.762271,853496105,CAM2P.4,20190418_436662_6imagesB,853962969,passed,375,VISp,OPHYS_6_images_B,1.0
222,846215539,container_qc,820878203,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-09 21:45:55.867082,848613406,CAM2P.3,20190409_445002_1imagesA,848697625,passed,375,VISp,OPHYS_1_images_A,0.0
221,846215539,container_qc,820878203,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-10 21:50:46.528410,849147676,CAM2P.3,20190410_445002_2imagesA,849203565,passed,375,VISp,OPHYS_2_images_A_passive,0.0
220,846215539,container_qc,820878203,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-11 20:50:52.732923,849651275,CAM2P.3,20190411_445002_3imagesA,850479305,passed,375,VISp,OPHYS_3_images_A,0.0
219,846215539,container_qc,820878203,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-12 21:50:49.570329,850989832,CAM2P.3,20190412_445002_4imagesB,851060467,passed,375,VISp,OPHYS_4_images_B,0.0
215,846215539,container_qc,820878203,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-22 17:20:53.420823,855200229,CAM2P.3,20190422_445002_5imagesB,855582961,passed,375,VISp,OPHYS_5_images_B_passive,1.0
217,846215539,container_qc,820878203,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-04-16 20:40:49.771601,852451567,CAM2P.3,20190416_445002_6imagesB,852691524,passed,375,VISp,OPHYS_6_images_B,0.0
19,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-05-16 20:20:56.091641,869559097,CAM2P.4,20190516_447663_1imagesA_,869969410,passed,175,VISp,OPHYS_1_images_A,3.0
22,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-04-29 18:40:55.092484,858974731,CAM2P.4,20190429_447663_1imagesA,859147033,passed,175,VISp,OPHYS_1_images_A,2.0
20,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-05-06 22:00:55.740544,863610582,CAM2P.4,20190506_447663_2imagesA,863735602,passed,175,VISp,OPHYS_2_images_A_passive,3.0
29,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-04-17 17:35:57.406000,852966248,CAM2P.4,20190417_447663_3imagesA,853328115,passed,175,VISp,OPHYS_3_images_A,0.0
28,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-04-18 22:15:52.695358,853875514,CAM2P.4,20190417_447663_4imagesB,853962951,passed,175,VISp,OPHYS_4_images_B,0.0
27,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-04-19 22:15:46.057880,854621677,CAM2P.4,20190419_447663_5imagesBPassive,854703305,passed,175,VISp,OPHYS_5_images_B_passive,0.0
26,848390542,completed,823826963,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2019-04-22 20:50:53.376283,855424348,CAM2P.4,20190422_447663_6imagesB,855577488,passed,175,VISp,OPHYS_6_images_B,0.0
70,863992815,completed,830901414,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-22 23:30:50.672909,873846349,CAM2P.4,20190522_448900_1imagesA,873968820,passed,175,VISp,OPHYS_1_images_A,2.0
69,863992815,completed,830901414,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-23 18:55:46.864727,874533721,CAM2P.4,20190523_448900_2imagesA,875045489,passed,175,VISp,OPHYS_2_images_A_passive,1.0
67,863992815,completed,830901414,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-28 19:20:56.898340,876660021,CAM2P.4,20190528_448900_3imagesA,877018118,passed,175,VISp,OPHYS_3_images_A,1.0
74,863992815,completed,830901414,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-16 17:50:57.352213,869303255,CAM2P.4,20190516_448900_5imagesB,869969393,passed,175,VISp,OPHYS_5_images_B_passive,0.0
65,863992815,completed,830901414,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-05-30 19:05:57.087748,878075965,CAM2P.4,20190530_448900_6imagesB,878358326,passed,175,VISp,OPHYS_6_images_B,2.0
